order_id,customer_id,product_id,order_status,payment_id,order_date,shipping_id,is_old_customer,feedback,quantity,cost,age,gender,sku,product_type,unit_price,payment_method,payment_type,shipping_type,shipping_category,shipping_cost_level,revenue
14,1011,CHR102,Completed,3,2024-07-07,1,False,2,10,126.8240468,72,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Standard,Standard,Low,5960.900000000001
15,1013,CHR102,Cancelled,5,2024-03-18,4,False,2,7,125.2583178,42,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Overnight,Fast Shipping,Very High,4172.63
16,1014,BSF101,Cancelled,3,2024-01-02,1,False,3,6,69.89256231,73,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Credit Card,Online,Standard,Standard,Low,778.98
17,1014,CHR102,Completed,2,2024-05-18,1,True,2,6,126.8240468,73,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Cash,Offline,Standard,Standard,Low,3576.54
18,1015,CHR101,Completed,5,2024-09-02,1,False,5,4,3.770756345,22,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Standard,Standard,Low,1953.4
19,1016,CHR101,Completed,5,2024-07-07,4,True,5,5,3.724203797,61,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Overnight,Fast Shipping,Very High,2441.75
20,1018,CHR101,Completed,5,2024-07-23,3,False,5,6,4.189729272,34,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Express,Fast Shipping,High,2930.1000000000004
21,1019,CHR101,Cancelled,2,2024-03-14,3,False,5,4,4.189729272,45,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Express,Fast Shipping,High,1953.4
22,1019,SCB101,Completed,2,2024-04-20,3,False,3,4,62.72919932,45,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Cash,Offline,Express,Fast Shipping,High,1467.92
23,1019,BSF101,Cancelled,5,2024-07-21,3,True,3,1,77.65840257,45,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Express,Fast Shipping,High,129.83
24,1020,BSF101,Cancelled,4,2023-12-02,3,False,3,4,77.65840257,57,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Express,Fast Shipping,High,519.32
25,1021,BSF101,Completed,2,2024-03-20,4,True,3,1,69.02969117,71,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Cash,Offline,Overnight,Fast Shipping,Very High,129.83
26,1022,BSF101,Cancelled,5,2024-04-27,4,False,3,8,69.02969117,76,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Overnight,Fast Shipping,Very High,1038.64
27,1024,CHR102,Completed,2,2024-07-10,4,False,2,2,125.2583178,49,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Cash,Offline,Overnight,Fast Shipping,Very High,1192.18
28,1025,DSK103,Completed,4,2024-01-29,4,False,3,6,121.6796261,77,Male,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Overnight,Fast Shipping,Very High,4151.28
29,1025,CHR101,Completed,2,2024-08-28,3,False,5,4,4.189729272,77,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Express,Fast Shipping,High,1953.4
30,1027,CHR102,Completed,5,2023-11-28,4,False,2,6,125.2583178,22,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Overnight,Fast Shipping,Very High,3576.54
31,1028,BSF101,Completed,4,2023-11-30,4,False,3,8,69.02969117,79,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Overnight,Fast Shipping,Very High,1038.64
32,1030,BSF101,Completed,4,2024-02-27,3,False,3,5,77.65840257,69,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Express,Fast Shipping,High,649.1500000000001
33,1031,BSF101,Completed,4,2024-01-21,3,False,3,7,77.65840257,20,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Express,Fast Shipping,High,908.8100000000001
34,1031,CHR101,Completed,4,2024-09-03,4,False,5,5,3.724203797,20,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Debit Card,Online,Overnight,Fast Shipping,Very High,2441.75
35,1033,SCB101,Completed,4,2023-11-30,4,False,3,4,55.75928829,54,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Overnight,Fast Shipping,Very High,1467.92
36,1033,CHR102,Completed,4,2024-01-12,1,False,2,4,126.8240468,54,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Standard,Standard,Low,2384.36
37,1035,CHR101,Completed,2,2023-09-24,1,False,5,9,3.770756345,32,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Standard,Standard,Low,4395.150000000001
38,1035,CHR101,Completed,2,2024-03-25,1,True,5,3,3.770756345,32,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Standard,Standard,Low,1465.0500000000002
39,1036,CHR102,Cancelled,4,2023-10-12,1,True,2,5,126.8240468,60,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Standard,Standard,Low,2980.4500000000003
40,1036,CHR102,Cancelled,5,2024-01-28,3,True,2,1,140.9156075,60,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Express,Fast Shipping,High,596.09
41,1038,BSF101,Completed,5,2024-07-08,4,False,3,5,69.02969117,56,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Overnight,Fast Shipping,Very High,649.1500000000001
42,1038,BSF101,Completed,2,2024-07-29,1,True,3,6,69.89256231,56,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Cash,Offline,Standard,Standard,Low,778.98
43,1038,CHR101,Completed,4,2024-08-17,3,False,5,7,4.189729272,56,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Debit Card,Online,Express,Fast Shipping,High,3418.4500000000003
44,1038,CHR102,Completed,4,2024-09-23,4,False,2,7,125.2583178,56,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Overnight,Fast Shipping,Very High,4172.63
45,1039,SCB101,Completed,3,2024-08-31,1,False,3,7,56.45627939,53,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Credit Card,Online,Standard,Standard,Low,2568.86
46,1040,CHR102,Completed,3,2023-10-16,1,True,2,8,126.8240468,45,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Standard,Standard,Low,4768.72
47,1042,CHR101,Cancelled,3,2024-06-26,4,False,5,7,3.724203797,65,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Credit Card,Online,Overnight,Fast Shipping,Very High,3418.4500000000003
48,1042,BSF101,Completed,2,2024-07-16,4,False,3,7,69.02969117,65,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Cash,Offline,Overnight,Fast Shipping,Very High,908.8100000000001
49,1043,CHR101,Completed,4,2024-03-05,4,False,5,10,3.724203797,76,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Debit Card,Online,Overnight,Fast Shipping,Very High,4883.5
50,1047,SCB101,Completed,4,2023-12-11,3,False,3,10,62.72919932,73,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Express,Fast Shipping,High,3669.8
51,1048,SCB101,Cancelled,4,2023-10-28,3,False,3,10,62.72919932,67,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Express,Fast Shipping,High,3669.8
52,1049,CHR101,Completed,5,2024-06-25,1,False,5,7,3.770756345,50,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Standard,Standard,Low,3418.4500000000003
53,1052,BSF101,Cancelled,2,2024-08-03,1,False,3,6,69.89256231,72,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Cash,Offline,Standard,Standard,Low,778.98
54,1053,DSK103,Completed,4,2023-12-20,1,False,3,9,123.2006214,79,Female,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Standard,Standard,Low,6226.92
55,1054,CHR101,Completed,5,2024-05-08,1,True,5,3,3.770756345,30,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Standard,Standard,Low,1465.0500000000002
56,1056,DSK103,Completed,3,2024-04-27,4,False,3,4,121.6796261,24,Female,OFFICEDESK_DSK103,Office Desk,691.88,Credit Card,Online,Overnight,Fast Shipping,Very High,2767.52
57,1057,BSF101,Cancelled,5,2023-10-22,3,False,3,9,77.65840257,71,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Express,Fast Shipping,High,1168.47
58,1057,SCB101,Cancelled,4,2024-03-28,3,False,3,6,62.72919932,71,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Express,Fast Shipping,High,2201.88
59,1058,CHR101,Completed,5,2024-06-12,4,False,5,8,3.724203797,21,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Overnight,Fast Shipping,Very High,3906.8
60,1058,CHR102,Cancelled,3,2024-07-08,3,False,2,5,140.9156075,21,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Express,Fast Shipping,High,2980.4500000000003
61,1059,DSK103,Completed,5,2024-02-22,4,False,3,7,121.6796261,37,Male,OFFICEDESK_DSK103,Office Desk,691.88,Paypal,Online,Overnight,Fast Shipping,Very High,4843.16
62,1059,DSK103,Completed,4,2024-06-27,3,False,3,1,136.8895794,37,Male,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Express,Fast Shipping,High,691.88
63,1060,DSK103,Completed,3,2023-09-28,1,True,3,4,123.2006214,72,Male,OFFICEDESK_DSK103,Office Desk,691.88,Credit Card,Online,Standard,Standard,Low,2767.52
64,1060,SCB101,Completed,5,2023-12-07,4,True,3,6,55.75928829,72,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Overnight,Fast Shipping,Very High,2201.88
65,1060,CHR102,Completed,5,2024-01-29,4,False,2,2,125.2583178,72,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Overnight,Fast Shipping,Very High,1192.18
66,1061,SCB101,Completed,2,2023-10-25,1,True,3,8,56.45627939,56,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Cash,Offline,Standard,Standard,Low,2935.84
67,1061,DSK103,Completed,5,2024-05-21,3,False,3,1,136.8895794,56,Male,OFFICEDESK_DSK103,Office Desk,691.88,Paypal,Online,Express,Fast Shipping,High,691.88
68,1062,CHR102,Completed,4,2024-03-23,1,False,2,8,126.8240468,62,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Standard,Standard,Low,4768.72
69,1063,DSK103,Completed,5,2024-04-25,1,True,3,4,123.2006214,64,Male,OFFICEDESK_DSK103,Office Desk,691.88,Paypal,Online,Standard,Standard,Low,2767.52
70,1063,CHR102,Cancelled,3,2024-07-08,3,False,2,3,140.9156075,64,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Express,Fast Shipping,High,1788.27
71,1066,CHR102,Cancelled,5,2024-02-28,1,False,2,3,126.8240468,44,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Standard,Standard,Low,1788.27
72,1066,CHR102,Completed,3,2024-07-13,4,False,2,3,125.2583178,44,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Overnight,Fast Shipping,Very High,1788.27
73,1067,SCB101,Cancelled,5,2023-10-17,1,False,3,7,56.45627939,49,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Standard,Standard,Low,2568.86
74,1067,BSF101,Completed,4,2023-12-30,1,False,3,2,69.89256231,49,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Standard,Standard,Low,259.66
75,1069,CHR101,Completed,2,2024-05-21,1,False,5,7,3.770756345,27,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Standard,Standard,Low,3418.4500000000003
76,1070,CHR101,Cancelled,5,2023-11-29,1,False,5,3,3.770756345,30,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Standard,Standard,Low,1465.0500000000002
77,1071,BSF101,Completed,4,2024-06-17,4,False,3,9,69.02969117,54,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Overnight,Fast Shipping,Very High,1168.47
78,1073,SCB101,Completed,2,2024-07-11,1,False,3,9,56.45627939,46,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Cash,Offline,Standard,Standard,Low,3302.82
79,1073,SCB101,Completed,3,2024-09-12,3,True,3,8,62.72919932,46,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Credit Card,Online,Express,Fast Shipping,High,2935.84
80,1074,BSF101,Completed,2,2023-11-06,1,False,3,9,69.89256231,58,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Cash,Offline,Standard,Standard,Low,1168.47
81,1077,CHR102,Completed,2,2023-12-26,3,False,2,3,140.9156075,26,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Cash,Offline,Express,Fast Shipping,High,1788.27
82,1077,SCB101,Completed,2,2024-05-14,4,False,3,6,55.75928829,26,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Cash,Offline,Overnight,Fast Shipping,Very High,2201.88
83,1079,CHR101,Completed,5,2023-10-24,1,False,5,2,3.770756345,64,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Standard,Standard,Low,976.7
84,1079,CHR102,Completed,5,2024-09-12,4,True,2,4,125.2583178,64,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Overnight,Fast Shipping,Very High,2384.36
85,1079,CHR102,Completed,4,2024-09-15,4,False,2,3,125.2583178,64,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Overnight,Fast Shipping,Very High,1788.27
86,1080,CHR102,Cancelled,5,2024-01-03,1,False,2,4,126.8240468,55,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Standard,Standard,Low,2384.36
87,1080,SCB101,Completed,3,2024-08-18,3,False,3,1,62.72919932,55,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Credit Card,Online,Express,Fast Shipping,High,366.98
88,1083,BSF101,Completed,3,2024-07-29,4,False,3,4,69.02969117,24,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Credit Card,Online,Overnight,Fast Shipping,Very High,519.32
89,1085,CHR101,Completed,2,2023-10-11,3,False,5,1,4.189729272,74,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Express,Fast Shipping,High,488.35
90,1085,SCB101,Completed,2,2024-05-02,4,False,3,3,55.75928829,74,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Cash,Offline,Overnight,Fast Shipping,Very High,1100.94
91,1086,CHR101,Completed,5,2024-07-01,4,False,5,8,3.724203797,76,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Overnight,Fast Shipping,Very High,3906.8
92,1089,CHR102,Completed,4,2024-08-09,3,False,2,5,140.9156075,45,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Express,Fast Shipping,High,2980.4500000000003
93,1090,SCB101,Cancelled,4,2024-05-04,3,False,3,3,62.72919932,31,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Express,Fast Shipping,High,1100.94
94,1091,BSF101,Cancelled,3,2024-03-22,3,True,3,2,77.65840257,22,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Credit Card,Online,Express,Fast Shipping,High,259.66
95,1093,CHR102,Completed,3,2024-04-27,3,False,2,9,140.9156075,56,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Express,Fast Shipping,High,5364.81
96,1094,CHR101,Completed,4,2024-05-07,4,False,5,1,3.724203797,65,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Debit Card,Online,Overnight,Fast Shipping,Very High,488.35
97,1096,CHR101,Completed,5,2023-12-13,1,True,5,2,3.770756345,20,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Standard,Standard,Low,976.7
98,1096,DSK103,Completed,2,2024-05-15,4,False,3,10,121.6796261,20,Female,OFFICEDESK_DSK103,Office Desk,691.88,Cash,Offline,Overnight,Fast Shipping,Very High,6918.8
99,1097,SCB101,Completed,5,2024-03-25,3,False,3,4,62.72919932,19,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Express,Fast Shipping,High,1467.92
100,1099,CHR102,Cancelled,3,2023-10-09,1,False,2,2,126.8240468,68,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Standard,Standard,Low,1192.18
101,1099,DSK103,Cancelled,5,2024-05-31,4,False,3,3,121.6796261,68,Female,OFFICEDESK_DSK103,Office Desk,691.88,Paypal,Online,Overnight,Fast Shipping,Very High,2075.64
102,1100,SCB101,Completed,3,2024-02-29,3,True,3,3,62.72919932,63,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Credit Card,Online,Express,Fast Shipping,High,1100.94
103,1100,BSF101,Completed,3,2024-05-19,4,True,3,4,69.02969117,63,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Credit Card,Online,Overnight,Fast Shipping,Very High,519.32
104,1101,CHR101,Completed,2,2023-10-09,1,True,5,10,3.770756345,33,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Standard,Standard,Low,4883.5
105,1101,CHR102,Cancelled,3,2023-10-25,4,False,2,1,125.2583178,33,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Overnight,Fast Shipping,Very High,596.09
106,1101,CHR101,Completed,2,2024-05-23,4,False,5,2,3.724203797,33,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Overnight,Fast Shipping,Very High,976.7
107,1101,CHR101,Completed,5,2024-07-23,3,False,5,3,4.189729272,33,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Express,Fast Shipping,High,1465.0500000000002
108,1102,CHR101,Cancelle,5,2024-08-06,3,False,5,8,4.189729272,55,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Express,Fast Shipping,High,3906.8
109,1105,SCB101,Completed,4,2024-09-20,4,False,3,6,55.75928829,42,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Overnight,Fast Shipping,Very High,2201.88
110,1109,DSK103,Cancelled,4,2024-03-25,4,False,3,4,121.6796261,37,Female,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Overnight,Fast Shipping,Very High,2767.52
111,1109,CHR101,Completed,4,2024-07-13,4,True,5,9,3.724203797,37,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Debit Card,Online,Overnight,Fast Shipping,Very High,4395.150000000001
112,1110,CHR101,Completed,3,2024-07-11,3,False,5,10,4.189729272,76,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Credit Card,Online,Express,Fast Shipping,High,4883.5
113,1112,SCB101,Completed,5,2024-02-15,4,False,3,9,55.75928829,58,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Overnight,Fast Shipping,Very High,3302.82
114,1112,SCB101,Completed,5,2024-06-19,3,False,3,9,62.72919932,58,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Express,Fast Shipping,High,3302.82
115,1114,CHR102,Completed,5,2024-01-31,4,False,2,6,125.2583178,25,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Overnight,Fast Shipping,Very High,3576.54
116,1115,CHR102,Cancelled,2,2023-12-30,4,False,2,1,125.2583178,31,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Cash,Offline,Overnight,Fast Shipping,Very High,596.09
117,1115,BSF101,Completed,5,2024-06-04,4,True,3,1,69.02969117,31,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Overnight,Fast Shipping,Very High,129.83
118,1115,SCB101,Completed,4,2024-09-10,1,False,3,1,56.45627939,31,Female,STORAGECAB_SCB101,Storage Cabinet,366.98,Debit Card,Online,Standard,Standard,Low,366.98
119,1116,DSK103,Cancelled,5,2024-01-10,4,False,3,9,121.6796261,55,Female,OFFICEDESK_DSK103,Office Desk,691.88,Paypal,Online,Overnight,Fast Shipping,Very High,6226.92
120,1116,DSK103,Completed,2,2024-05-20,3,False,3,9,136.8895794,55,Female,OFFICEDESK_DSK103,Office Desk,691.88,Cash,Offline,Express,Fast Shipping,High,6226.92
121,1117,BSF101,Completed,4,2024-03-06,4,False,3,2,69.02969117,34,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Overnight,Fast Shipping,Very High,259.66
122,1119,SCB101,Completed,3,2024-01-12,1,False,3,6,56.45627939,24,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Credit Card,Online,Standard,Standard,Low,2201.88
123,1120,CHR101,Completed,4,2023-12-13,3,True,5,9,4.189729272,40,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Debit Card,Online,Express,Fast Shipping,High,4395.150000000001
124,1120,CHR101,Cancelled,3,2024-02-25,3,False,5,5,4.189729272,40,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Credit Card,Online,Express,Fast Shipping,High,2441.75
125,1122,CHR102,Cancelled,5,2024-09-15,3,True,2,7,140.9156075,69,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Express,Fast Shipping,High,4172.63
126,1123,BSF101,Cancelled,3,2024-04-09,4,True,3,8,69.02969117,79,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Credit Card,Online,Overnight,Fast Shipping,Very High,1038.64
127,1123,CHR102,Completed,4,2024-08-12,1,True,2,1,126.8240468,79,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Standard,Standard,Low,596.09
128,1124,DSK103,Completed,3,2024-02-12,4,False,3,4,121.6796261,24,Female,OFFICEDESK_DSK103,Office Desk,691.88,Credit Card,Online,Overnight,Fast Shipping,Very High,2767.52
129,1124,DSK103,Completed,4,2024-02-26,1,True,3,8,123.2006214,24,Female,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Standard,Standard,Low,5535.04
130,1124,CHR102,Completed,5,2024-09-05,4,False,2,4,125.2583178,24,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Overnight,Fast Shipping,Very High,2384.36
131,1125,BSF101,Completed,4,2024-01-08,3,False,3,7,77.65840257,46,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Express,Fast Shipping,High,908.8100000000001
132,1125,DSK103,Completed,2,2024-08-24,1,False,3,8,123.2006214,46,Male,OFFICEDESK_DSK103,Office Desk,691.88,Cash,Offline,Standard,Standard,Low,5535.04
133,1127,BSF101,Completed,5,2023-12-06,3,False,3,8,77.65840257,80,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Express,Fast Shipping,High,1038.64
134,1127,CHR101,Cancelled,5,2024-03-22,3,False,5,8,4.189729272,80,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Paypal,Online,Express,Fast Shipping,High,3906.8
135,1129,CHR101,Cancelled,2,2023-12-09,4,True,5,1,3.724203797,36,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Overnight,Fast Shipping,Very High,488.35
136,1130,CHR102,Completed,4,2023-11-04,3,True,2,6,140.9156075,75,Female,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Express,Fast Shipping,High,3576.54
137,1132,CHR101,Completed,2,2024-05-02,1,True,5,6,3.770756345,18,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Standard,Standard,Low,2930.1000000000004
138,1133,DSK103,Completed,2,2024-03-27,3,False,3,3,136.8895794,25,Male,OFFICEDESK_DSK103,Office Desk,691.88,Cash,Offline,Express,Fast Shipping,High,2075.64
139,1133,BSF101,Completed,4,2024-07-06,1,True,3,8,69.89256231,25,Male,BOOKSHELF_BSF101,Bookshelf,129.83,Debit Card,Online,Standard,Standard,Low,1038.64
140,1134,CHR102,Completed,5,2023-12-01,3,True,2,8,140.9156075,23,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Express,Fast Shipping,High,4768.72
141,1134,DSK103,Completed,4,2023-12-22,4,False,3,2,121.6796261,23,Male,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Overnight,Fast Shipping,Very High,1383.76
142,1134,DSK103,Cancelled,4,2024-06-10,3,False,3,8,136.8895794,23,Male,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Express,Fast Shipping,High,5535.04
143,1134,CHR102,Completed,5,2024-07-22,1,False,2,9,126.8240468,23,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Paypal,Online,Standard,Standard,Low,5364.81
144,1136,BSF101,Completed,3,2023-12-14,4,False,3,1,69.02969117,20,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Credit Card,Online,Overnight,Fast Shipping,Very High,129.83
