customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_combined,segment,cluster,cluster_label
1262,305,1,2980.4500000000003,1,1,3,113,113,Hibernating,2,Occasional Buyers
1263,338,1,1038.64,1,1,1,111,111,Hibernating,2,Occasional Buyers
1264,160,1,4395.150000000001,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1265,90,2,1559.16,4,4,2,442,442,Potential Loyalists,1,High-Value Active
1267,256,1,2568.86,2,1,3,213,213,Hibernating,2,Occasional Buyers
1268,64,3,4874.84,4,5,4,454,454,Champions,1,High-Value Active
1269,55,1,4395.150000000001,5,1,4,514,514,New Customers,3,Loyal Mid-Tier
1271,349,1,366.98,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1276,195,1,2568.86,2,1,3,213,213,Hibernating,2,Occasional Buyers
1277,103,1,366.98,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1278,50,4,9124.27,5,5,5,555,555,Champions,1,High-Value Active
1280,34,2,3968.7400000000007,5,4,4,544,544,Champions,1,High-Value Active
1283,142,1,4395.150000000001,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1286,74,2,6311.08,4,4,5,445,445,Champions,1,High-Value Active
1287,43,2,2721.2000000000003,5,4,3,543,543,Loyal Customers,1,High-Value Active
1288,188,1,5960.900000000001,3,1,5,315,315,Potential Loyalists,3,Loyal Mid-Tier
1292,87,3,7204.26,4,5,5,455,455,Champions,1,High-Value Active
1293,330,1,3576.54,1,1,3,113,113,Hibernating,2,Occasional Buyers
1294,202,1,5535.04,2,1,5,215,215,Hibernating,2,Occasional Buyers
1296,276,2,4457.09,1,4,4,144,144,At Risk,2,Occasional Buyers
1298,326,1,2568.86,1,1,3,113,113,Hibernating,2,Occasional Buyers
1299,301,1,5960.900000000001,1,1,5,115,115,Hibernating,2,Occasional Buyers
1300,158,1,3906.8,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1301,54,1,596.09,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1302,24,1,3418.4500000000003,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1303,92,2,6183.42,4,4,5,445,445,Champions,1,High-Value Active
1304,336,1,1100.94,1,1,2,112,112,Hibernating,2,Occasional Buyers
1305,321,1,2384.36,1,1,3,113,113,Hibernating,2,Occasional Buyers
1306,240,1,1465.0500000000002,2,1,2,212,212,Hibernating,2,Occasional Buyers
1307,190,1,1383.76,2,1,2,212,212,Hibernating,0,Low-Value / Dormant
1308,261,1,2075.64,2,1,2,212,212,Hibernating,2,Occasional Buyers
1309,31,1,778.98,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1311,25,1,389.49,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1312,103,1,1953.4,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1313,96,2,6145.4,4,4,5,445,445,Champions,1,High-Value Active
1314,290,1,2930.1000000000004,1,1,3,113,113,Hibernating,2,Occasional Buyers
1316,19,2,1038.64,5,4,1,541,541,Need Attention,1,High-Value Active
1317,138,1,259.66,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1318,310,1,3669.8,1,1,3,113,113,Hibernating,2,Occasional Buyers
1320,308,1,908.81,1,1,1,111,111,Hibernating,2,Occasional Buyers
1321,290,1,2935.84,1,1,3,113,113,Hibernating,2,Occasional Buyers
1326,349,1,1038.64,1,1,1,111,111,Hibernating,2,Occasional Buyers
1327,266,1,2075.64,2,1,2,212,212,Hibernating,2,Occasional Buyers
1329,204,1,1788.27,2,1,2,212,212,Hibernating,2,Occasional Buyers
1331,95,1,649.1500000000001,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1333,54,3,4578.610000000001,5,5,4,554,554,Champions,1,High-Value Active
1335,82,2,6350.39,4,4,5,445,445,Champions,1,High-Value Active
1337,269,1,2201.88,2,1,2,212,212,Hibernating,2,Occasional Buyers
1340,33,2,9204.84,5,4,5,545,545,Champions,1,High-Value Active
1342,348,1,519.32,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1347,161,1,6918.8,3,1,5,315,315,Potential Loyalists,3,Loyal Mid-Tier
1348,240,3,5492.3099999999995,2,5,5,255,255,At Risk,1,High-Value Active
1349,359,1,4172.63,1,1,4,114,114,Hibernating,2,Occasional Buyers
1350,13,1,908.81,5,1,1,511,511,New Customers,3,Loyal Mid-Tier
1352,17,3,3990.15,5,5,4,554,554,Champions,1,High-Value Active
1353,153,1,4172.63,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1354,212,1,3459.4,2,1,3,213,213,Hibernating,2,Occasional Buyers
1355,9,2,8428.8,5,4,5,545,545,Champions,1,High-Value Active
1356,84,1,1298.3000000000002,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1363,165,1,488.35,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1364,103,1,389.49,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1365,199,1,5960.900000000001,2,1,5,215,215,Hibernating,2,Occasional Buyers
1368,132,1,3418.4500000000003,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1369,281,1,5364.81,1,1,4,114,114,Hibernating,2,Occasional Buyers
1372,106,1,1788.27,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1374,125,1,3906.8,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1375,2,1,4151.28,5,1,4,514,514,New Customers,3,Loyal Mid-Tier
1378,145,1,3906.8,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1379,349,1,5535.04,1,1,5,115,115,Hibernating,2,Occasional Buyers
1381,259,1,1465.0500000000002,2,1,2,212,212,Hibernating,2,Occasional Buyers
1383,60,1,259.66,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1385,180,1,1788.27,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1387,99,1,1100.94,4,1,2,412,412,New Customers,0,Low-Value / Dormant
1388,193,1,1834.9,2,1,2,212,212,Hibernating,2,Occasional Buyers
1389,17,3,5884.540000000001,5,5,5,555,555,Champions,1,High-Value Active
1390,269,1,2201.88,2,1,2,212,212,Hibernating,2,Occasional Buyers
1395,138,1,4843.16,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1398,64,1,5960.900000000001,4,1,5,415,415,New Customers,3,Loyal Mid-Tier
1399,253,2,1600.69,2,4,2,242,242,Can't Lose Them,2,Occasional Buyers
1400,40,2,5011.48,5,4,4,544,544,Champions,1,High-Value Active
1401,327,1,4843.16,1,1,4,114,114,Hibernating,2,Occasional Buyers
1402,148,1,129.83,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1403,57,2,2437.42,5,4,3,543,543,Loyal Customers,1,High-Value Active
1404,219,1,366.98,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1405,71,1,1834.9,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1408,46,2,5371.85,5,4,4,544,544,Champions,1,High-Value Active
1409,232,1,2441.75,2,1,3,213,213,Hibernating,2,Occasional Buyers
1411,299,1,3418.4500000000003,1,1,3,113,113,Hibernating,2,Occasional Buyers
1416,100,2,1557.96,4,4,2,442,442,Potential Loyalists,1,High-Value Active
1419,366,1,2930.1000000000004,1,1,3,113,113,Hibernating,2,Occasional Buyers
1420,280,1,4768.72,1,1,4,114,114,Hibernating,2,Occasional Buyers
1421,176,1,2568.86,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1422,4,2,5341.1,5,4,4,544,544,Champions,1,High-Value Active
1423,178,2,3822.1400000000003,3,4,4,344,344,Loyal Customers,1,High-Value Active
1424,316,1,5535.04,1,1,5,115,115,Hibernating,2,Occasional Buyers
1425,146,2,6960.88,3,4,5,345,345,Loyal Customers,1,High-Value Active
1428,97,1,2384.36,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1429,315,1,259.66,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1430,312,1,2201.88,1,1,2,112,112,Hibernating,2,Occasional Buyers
1431,259,3,7878.450000000001,2,5,5,255,255,At Risk,1,High-Value Active
1433,211,1,4151.28,2,1,4,214,214,Hibernating,2,Occasional Buyers
1434,182,1,1465.0500000000002,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1435,128,1,129.83,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1436,216,2,10207.970000000001,2,4,5,245,245,At Risk,1,High-Value Active
1443,86,2,4889.24,4,4,4,444,444,Champions,1,High-Value Active
1447,101,3,10530.34,4,5,5,455,455,Champions,1,High-Value Active
1449,189,1,1192.18,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1450,170,1,1467.92,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1451,280,2,1979.85,1,4,2,142,142,Can't Lose Them,2,Occasional Buyers
1454,34,1,1168.47,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1455,100,2,8402.650000000001,4,4,5,445,445,Champions,1,High-Value Active
1457,285,1,1192.18,1,1,2,112,112,Hibernating,2,Occasional Buyers
1458,279,1,366.98,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1460,84,3,2244.03,4,5,2,452,452,Potential Loyalists,1,High-Value Active
1461,16,2,6403.450000000001,5,4,5,545,545,Champions,1,High-Value Active
1462,62,2,7375.6,4,4,5,445,445,Champions,1,High-Value Active
1463,360,1,1100.94,1,1,2,112,112,Hibernating,2,Occasional Buyers
1464,92,1,4172.63,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1465,185,2,7061.84,3,4,5,345,345,Loyal Customers,1,High-Value Active
1466,115,3,3206.07,4,5,3,453,453,Loyal Customers,1,High-Value Active
1467,150,1,1168.47,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1469,42,1,2767.52,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1470,135,1,519.32,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1473,50,3,5631.51,5,5,5,555,555,Champions,1,High-Value Active
1475,103,1,2075.64,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1476,33,1,3459.4,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1477,279,1,3669.8,1,1,3,113,113,Hibernating,2,Occasional Buyers
1478,116,2,6650.25,4,4,5,445,445,Champions,1,High-Value Active
1480,229,1,5960.900000000001,2,1,5,215,215,Hibernating,2,Occasional Buyers
1481,217,2,3133.2000000000003,2,4,3,243,243,At Risk,1,High-Value Active
1483,105,2,4313.860000000001,4,4,4,444,444,Champions,1,High-Value Active
1484,4,1,5535.04,5,1,5,515,515,New Customers,3,Loyal Mid-Tier
1486,197,3,6446.18,2,5,5,255,255,At Risk,1,High-Value Active
1489,53,1,1100.94,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1492,161,1,3302.82,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1494,292,2,3849.4100000000003,1,4,4,144,144,At Risk,2,Occasional Buyers
1495,150,2,7773.26,3,4,5,345,345,Loyal Customers,1,High-Value Active
1497,326,1,2767.52,1,1,3,113,113,Hibernating,2,Occasional Buyers
1499,123,3,5487.42,3,5,4,354,354,Loyal Customers,1,High-Value Active
1501,33,1,366.98,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1502,82,2,5011.48,4,4,4,444,444,Champions,1,High-Value Active
1504,19,1,4843.16,5,1,4,514,514,New Customers,3,Loyal Mid-Tier
1507,66,1,691.88,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1509,61,1,1100.94,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1511,48,2,6918.8,5,4,5,545,545,Champions,1,High-Value Active
1512,163,2,3623.17,3,4,3,343,343,Loyal Customers,1,High-Value Active
1515,337,1,596.09,1,1,1,111,111,Hibernating,2,Occasional Buyers
1516,113,2,3959.7,4,4,4,444,444,Champions,1,High-Value Active
1518,127,4,8728.42,3,5,5,355,355,Loyal Customers,1,High-Value Active
1520,107,1,2935.84,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1523,277,1,5535.04,1,1,5,115,115,Hibernating,2,Occasional Buyers
1524,200,1,3669.8,2,1,3,213,213,Hibernating,2,Occasional Buyers
1526,291,1,3459.4,1,1,3,113,113,Hibernating,2,Occasional Buyers
1528,115,1,1168.47,4,1,2,412,412,New Customers,0,Low-Value / Dormant
1535,77,2,7102.7300000000005,4,4,5,445,445,Champions,1,High-Value Active
1537,84,1,1100.94,4,1,2,412,412,New Customers,0,Low-Value / Dormant
1538,79,2,5371.85,4,4,4,444,444,Champions,1,High-Value Active
1539,236,1,1465.0500000000002,2,1,2,212,212,Hibernating,2,Occasional Buyers
1541,321,1,3459.4,1,1,3,113,113,Hibernating,2,Occasional Buyers
1543,172,1,2935.84,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1546,151,2,4898.55,3,4,4,344,344,Loyal Customers,1,High-Value Active
1549,126,1,976.7,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1551,111,1,976.7,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1553,229,1,488.35,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1554,139,1,1168.47,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1556,358,1,1100.94,1,1,2,112,112,Hibernating,2,Occasional Buyers
1558,122,1,5535.04,3,1,5,315,315,Potential Loyalists,3,Loyal Mid-Tier
1559,12,2,6267.26,5,4,5,545,545,Champions,1,High-Value Active
1561,98,1,691.88,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1562,103,1,649.1500000000001,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1566,181,2,8061.82,3,4,5,345,345,Loyal Customers,1,High-Value Active
1568,103,3,7046.24,4,5,5,455,455,Champions,1,High-Value Active
1570,310,1,4843.16,1,1,4,114,114,Hibernating,2,Occasional Buyers
1571,262,2,1496.02,2,4,2,242,242,Can't Lose Them,2,Occasional Buyers
1574,176,1,5535.04,3,1,5,315,315,Potential Loyalists,3,Loyal Mid-Tier
1576,217,1,2935.84,2,1,3,213,213,Hibernating,2,Occasional Buyers
1577,57,1,389.49,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1578,69,2,11921.800000000001,4,4,5,445,445,Champions,1,High-Value Active
1579,229,1,1467.92,2,1,2,212,212,Hibernating,2,Occasional Buyers
1585,64,2,4951.610000000001,4,4,4,444,444,Champions,1,High-Value Active
1586,119,1,2930.1000000000004,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1587,103,2,4686.58,4,4,4,444,444,Champions,1,High-Value Active
1589,108,1,976.7,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1590,71,2,5205.1,4,4,4,444,444,Champions,1,High-Value Active
1591,224,2,5496.09,2,4,5,245,245,At Risk,1,High-Value Active
1592,359,1,6918.8,1,1,5,115,115,Hibernating,2,Occasional Buyers
1593,338,1,389.49,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1595,44,1,3302.82,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1597,138,2,2743.71,3,4,3,343,343,Loyal Customers,1,High-Value Active
1601,173,1,1192.18,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1602,13,1,3302.82,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1603,123,1,1100.94,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1605,155,1,778.98,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1606,25,1,649.1500000000001,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1611,103,2,5087.030000000001,4,4,4,444,444,Champions,1,High-Value Active
1613,322,1,1834.9,1,1,2,112,112,Hibernating,2,Occasional Buyers
1616,14,5,15868.380000000001,5,5,5,555,555,Champions,1,High-Value Active
1617,149,1,1953.4,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1618,239,2,8920.0,2,4,5,245,245,At Risk,1,High-Value Active
1619,246,1,1788.27,2,1,2,212,212,Hibernating,2,Occasional Buyers
1621,129,2,3906.8,3,4,4,344,344,Loyal Customers,1,High-Value Active
1622,316,1,1298.3000000000002,1,1,2,112,112,Hibernating,2,Occasional Buyers
1624,291,1,3576.54,1,1,3,113,113,Hibernating,2,Occasional Buyers
1626,295,1,778.98,1,1,1,111,111,Hibernating,2,Occasional Buyers
1628,48,1,488.35,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1632,40,2,6836.900000000001,5,4,5,545,545,Champions,1,High-Value Active
1633,59,2,8668.67,4,4,5,445,445,Champions,1,High-Value Active
1635,198,2,725.9200000000001,2,4,1,241,241,Can't Lose Them,0,Low-Value / Dormant
1636,40,2,7325.250000000001,5,4,5,545,545,Champions,1,High-Value Active
